A/C,OT,RH,UT,NORMAL,RH_O,RH_UT,UT_O
capsicum MR,0.184210526,0.052631579,0.210526316,0.131578947,0.184210526,0.157894737,0.078947368
capsicum KR,0.101851852,0.074074074,0.064814815,0.555555556,0.111111111,0.064814815,0.027777778
capsicum NR,0.145530146,0.164241164,0.14968815,0.072765073,0.143451143,0.141372141,0.182952183
capsicum HR,0,0.25,0.25,0,0.125,0.125,0.25
chillie LR,0.068965517,0.068965517,0.206896552,0,0.068965517,0.344827586,0.24137931
chillie MR,0.090909091,0.181818182,0.090909091,0,0.181818182,0.272727273,0.181818182
chillie KR,0.139372822,0.139372822,0.1271777,0.160278746,0.155052265,0.132404181,0.146341463
chillie NR,0.165048544,0.184466019,0.223300971,0.097087379,0.097087379,0.13592233,0.097087379
chillie HR,1,0,0,0,0,0,0
cauliflower LR,0.294117647,0.117647059,0.176470588,0.117647059,0.058823529,0.117647059,0.117647059
cauliflower NR,0.215909091,0.159090909,0.204545455,0.022727273,0.056818182,0.147727273,0.193181818
cauliflower KR,0.129084967,0.140522876,0.133986928,0.160130719,0.155228758,0.14379085,0.137254902
cauliflower HR,0,0.333333333,0,0,0.666666667,0,0
carrot LR,0,0.142857143,0.142857143,0.142857143,0,0.571428571,0
carrot NR,0.125,0.15625,0.171875,0.09375,0.15625,0.203125,0.09375
carrot KR,0.146379045,0.141756549,0.140215716,0.146379045,0.143297381,0.132511556,0.149460709
chowchow LR,0.174603175,0.174603175,0.142857143,0.095238095,0.111111111,0.206349206,0.095238095
chowchow MR,0.142857143,0.142857143,0.142857143,0.071428571,0.160714286,0.214285714,0.125
chowchow KR,0.105263158,0.131578947,0.043859649,0.48245614,0.061403509,0.131578947,0.043859649
chowchow NR,0.14699793,0.140786749,0.163561077,0.076604555,0.16563147,0.130434783,0.175983437
chowchow HR,0.25,0.25,0.5,0,0,0,0
corn LR,0.172839506,0.117283951,0.135802469,0.049382716,0.148148148,0.185185185,0.191358025
corn MR,0.104651163,0.127906977,0.290697674,0.069767442,0.139534884,0.162790698,0.104651163
corn KR,0.095238095,0.161904762,0.066666667,0.523809524,0.038095238,0.057142857,0.057142857
corn NR,0.154727794,0.148997135,0.140401146,0.085959885,0.163323782,0.151862464,0.154727794
corn HR,0.111111111,0.222222222,0,0.166666667,0.333333333,0,0.166666667
cucumber LR,0.150537634,0.172043011,0.204301075,0.021505376,0.075268817,0.182795699,0.193548387
cucumber MR,0.107142857,0.035714286,0.107142857,0.178571429,0.25,0.142857143,0.178571429
cucumber KR,0.165803109,0.129533679,0.07253886,0.29015544,0.170984456,0.082901554,0.088082902
cucumber NR,0.134328358,0.151741294,0.164179104,0.097014925,0.13681592,0.15920398,0.156716418
cucumber HR,0,0,0.25,0,0.25,0.5,0
drumstick LR,0.086956522,0.130434783,0.130434783,0.086956522,0.173913043,0,0.391304348
drumstick MR,0.125,0,0.25,0,0.125,0.5,0
drumstick KR,0.133815552,0.141048825,0.132007233,0.157323689,0.159132007,0.150090416,0.126582278
drumstick NR,0.2,0.169230769,0.192307692,0.069230769,0.076923077,0.123076923,0.169230769
drumstick HR,0,0,0,0.666666667,0,0,0.333333333
greens LR,0,0,0.125,0,0.25,0.625,0
greens NR,0.145833333,0.125,0.1875,0.104166667,0.104166667,0.229166667,0.104166667
greens KR,0.144578313,0.146084337,0.140060241,0.146084337,0.144578313,0.131024096,0.147590361
gourds MR,0.147826087,0.130434783,0.147826087,0.139130435,0.113043478,0.147826087,0.173913043
gourds LR,0.123595506,0.134831461,0.151685393,0.050561798,0.162921348,0.202247191,0.174157303
gourds KR,0.058333333,0.158333333,0.083333333,0.458333333,0.108333333,0.1,0.033333333
gourds NR,0.186379928,0.154121864,0.164874552,0.078853047,0.164874552,0.103942652,0.146953405
gourds HR,0.178571429,0.071428571,0.107142857,0,0.071428571,0.321428571,0.25
kovaikai MR,0.272727273,0.272727273,0.090909091,0.181818182,0,0,0.181818182
kovaikai LR,0.130434783,0.130434783,0.260869565,0.086956522,0.173913043,0.130434783,0.086956522
kovaikai KR,0.126953125,0.1328125,0.138671875,0.162109375,0.1484375,0.150390625,0.140625
kovaikai NR,0.186046512,0.162790698,0.139534884,0.087209302,0.13372093,0.13372093,0.156976744
kovaikai HR,0,0.5,0.5,0,0,0,0
kothavarai LR,0.2,0.1,0.133333333,0.066666667,0.166666667,0.066666667,0.266666667
kothavarai MR,0,0.111111111,0.333333333,0,0.111111111,0.222222222,0.222222222
kothavarai KR,0.143824027,0.159052453,0.121827411,0.157360406,0.148900169,0.150592217,0.118443316
kothavarai NR,0.127906977,0.058139535,0.244186047,0.081395349,0.104651163,0.11627907,0.26744186
kothavarai HR,0.25,0,0.75,0,0,0,0
Lfinger MR,0.166666667,0.333333333,0.166666667,0,0,0,0.333333333
Lfinger LR,0.21875,0.1875,0.0625,0.0625,0.125,0.28125,0.0625
Lfinger KR,0.135869565,0.135869565,0.139492754,0.166666667,0.152173913,0.137681159,0.132246377
Lfinger NR,0.150793651,0.158730159,0.174603175,0.047619048,0.119047619,0.142857143,0.206349206
Lfinger HR,0.25,0,0.25,0.5,0,0,0
malli MR,0,0,0.5,0,0,0.5,0
malli LR,0.076923077,0,0,0.538461538,0.076923077,0.307692308,0
malli KR,0.146645866,0.143525741,0.138845554,0.137285491,0.138845554,0.141965679,0.152886115
malli NR,0.131147541,0.180327869,0.213114754,0.098360656,0.213114754,0.114754098,0.049180328
malli HR,0,0,0,0.333333333,0,0,0.666666667
mango LR,0.141414141,0.151515152,0.141414141,0.04040404,0.070707071,0.232323232,0.222222222
mango MR,0.128205128,0.076923077,0.179487179,0.076923077,0.230769231,0.205128205,0.102564103
mango KR,0.069444444,0.055555556,0.013888889,0.791666667,0,0.069444444,0
mango NR,0.156746032,0.160714286,0.158730159,0.075396825,0.166666667,0.132936508,0.148809524
mango HR,0,0,0.166666667,0,0.5,0,0.333333333
mushroom MR,0.375,0.125,0.25,0,0,0,0.25
mushroom LR,0.083333333,0.111111111,0.166666667,0.277777778,0.027777778,0.305555556,0.027777778
mushroom KR,0.133056133,0.139293139,0.14968815,0.151767152,0.155925156,0.116424116,0.153846154
mushroom NR,0.171875,0.15625,0.109375,0.098958333,0.140625,0.1875,0.135416667
mushroom HR,0,0.333333333,0.666666667,0,0,0,0
nuckol LR,0.125,0.15625,0.1875,0.0625,0.1875,0.15625,0.125
nuckol MR,0.285714286,0.047619048,0.238095238,0.047619048,0.142857143,0.238095238,0
nuckol KR,0.15470852,0.130044843,0.139013453,0.183856502,0.125560538,0.134529148,0.132286996
nuckol NR,0.106976744,0.176744186,0.139534884,0.079069767,0.162790698,0.148837209,0.186046512
nuckol HR,0.166666667,0.166666667,0,0,0.5,0.166666667,0
onion MR,0.142857143,0.428571429,0.142857143,0,0,0.142857143,0.142857143
onion LR,0.266666667,0.2,0.266666667,0,0,0.133333333,0.133333333
onion KR,0.140625,0.126736111,0.135416667,0.173611111,0.145833333,0.128472222,0.149305556
onion NR,0.133333333,0.2,0.158333333,0.016666667,0.158333333,0.216666667,0.116666667
onion HR,0.5,0,0.5,0,0,0,0
peas LR,0.17721519,0.101265823,0.215189873,0.063291139,0.17721519,0.202531646,0.063291139
peas MR,0.064516129,0.129032258,0.225806452,0.032258065,0.161290323,0.129032258,0.258064516
peas KR,0.127516779,0.067114094,0.093959732,0.436241611,0.080536913,0.093959732,0.100671141
peas NR,0.150224215,0.179372197,0.141255605,0.067264574,0.15470852,0.150224215,0.156950673
peas HR,0.066666667,0.066666667,0.133333333,0.066666667,0.2,0.133333333,0.333333333
potroot LR,0.133333333,0.166666667,0.1,0,0.233333333,0.233333333,0.133333333
potroot MR,0,0,0.166666667,0,0,0.833333333,0
potroot KR,0.140468227,0.14548495,0.142140468,0.153846154,0.142140468,0.130434783,0.14548495
potroot NR,0.180722892,0.13253012,0.156626506,0.120481928,0.13253012,0.13253012,0.144578313
potroot HR,0,0,0.333333333,0,0,0.666666667,0
paneer LR,0.138888889,0.194444444,0.222222222,0.138888889,0.111111111,0.083333333,0.111111111
