A/C,RH_UT,NORMAL,RH,OT,UT,RH_O,UT_O
aspergilus KR,0,0.166666667,0.5,0.166666667,0,0,0.166666667
aspergilus MR,0.203463203,0.069264069,0.207792208,0.116883117,0.19047619,0.090909091,0.121212121
aspergilus LR,0.071428571,0.063492063,0.198412698,0.174603175,0.277777778,0.095238095,0.119047619
aspergilus NR,0.086538462,0.081730769,0.182692308,0.125,0.259615385,0.149038462,0.115384615
pollen HR,0.181132075,0.052830189,0.177358491,0.139622642,0.19245283,0.143396226,0.113207547
pollen KR,0.25,0,0.25,0.5,0,0,0
pollen MR,0.133116883,0.064935065,0.175324675,0.162337662,0.243506494,0.107142857,0.113636364
pollen LR,0.06185567,0.103092784,0.288659794,0.051546392,0.257731959,0.103092784,0.134020619
pollen NR,0.035087719,0.087719298,0.228070175,0.280701754,0.210526316,0.070175439,0.087719298
parthenium HR,0.153439153,0.063492063,0.177248677,0.156084656,0.21957672,0.113756614,0.116402116
parthenium KR,0,0,0,1,0,0,0
parthenium MR,0.099616858,0.068965517,0.218390805,0.134099617,0.237547893,0.126436782,0.114942529
parthenium LR,0.122807018,0.105263158,0.245614035,0.175438596,0.175438596,0.070175439,0.105263158
parthenium NR,0.212121212,0.03030303,0.151515152,0.121212121,0.242424242,0.151515152,0.090909091
coc kroach HR,0.144117647,0.1,0.185294118,0.129411765,0.197058824,0.117647059,0.126470588
coc kroach KR,0,0,0.2,0.6,0.2,0,0
coc kroach MR,0.116591928,0.049327354,0.242152466,0.170403587,0.224215247,0.098654709,0.098654709
coc kroach LR,0.210526316,0.021052632,0.147368421,0.147368421,0.252631579,0.147368421,0.073684211
coc kroach NR,0.044117647,0.029411765,0.161764706,0.161764706,0.308823529,0.132352941,0.161764706
catdander HR,0,0,0,0,0.666666667,0.333333333,0
catdander KR,0.131964809,0.06744868,0.19941349,0.152492669,0.221407625,0.114369501,0.112903226
catdander MR,0.333333333,0,0.333333333,0,0.333333333,0,0
catdander LR,0.333333333,0,0.111111111,0.333333333,0.111111111,0.111111111,0
catdander NR,0.117647059,0.088235294,0.147058824,0.088235294,0.235294118,0.147058824,0.176470588
dosfur HR,0.444444444,0.111111111,0,0.111111111,0.222222222,0,0.111111111
dosfur KR,0.125588697,0.069073783,0.202511774,0.153846154,0.224489796,0.113029827,0.111459969
dosfur MR,0.125,0.041666667,0.125,0.166666667,0.25,0.25,0.041666667
dosfur LR,0.212121212,0.060606061,0.181818182,0.060606061,0.090909091,0.151515152,0.242424242
dosfur NR,0.142857143,0.035714286,0.178571429,0.178571429,0.321428571,0.071428571,0.071428571
roaddust HR,0,0,0,0,0.75,0.25,0
roaddust KR,0.076923077,0.285714286,0.131868132,0.087912088,0.10989011,0.131868132,0.175824176
roaddust MR,0.108695652,0,0.239130435,0.086956522,0.260869565,0.152173913,0.152173913
roaddust LR,0.138461538,0.076923077,0.169230769,0.123076923,0.276923077,0.107692308,0.107692308
roaddust NR,0.146666667,0.034285714,0.207619048,0.171428571,0.228571429,0.11047619,0.100952381
oldpdust HR,0.5,0,0,0.166666667,0.333333333,0,0
oldpdust KR,0.122834646,0.074015748,0.207874016,0.152755906,0.211023622,0.118110236,0.113385827
oldpdust MR,0.375,0,0,0,0.125,0.5,0
oldpdust LR,0.095238095,0.047619048,0.047619048,0.19047619,0.380952381,0.142857143,0.095238095
oldpdust NR,0.196721311,0.016393443,0.163934426,0.131147541,0.295081967,0.049180328,0.147540984
PSdust HR,0.272727273,0,0.272727273,0,0.272727273,0.181818182,0
PSdust KR,0.114068441,0.106463878,0.231939163,0.140684411,0.209125475,0.11026616,0.087452471
PSdust MR,0.282608696,0.02173913,0.086956522,0.304347826,0.195652174,0.043478261,0.065217391
PSdust LR,0.115942029,0.028985507,0.15942029,0.144927536,0.31884058,0.043478261,0.188405797
PSdust NR,0.128654971,0.052631579,0.187134503,0.143274854,0.216374269,0.143274854,0.128654971
MilkP HR,0.181818182,0,0.181818182,0.272727273,0.181818182,0.181818182,0
MilkP KR,0.128205128,0.08678501,0.205128205,0.136094675,0.222879684,0.108481262,0.112426036
MilkP MR,0.060606061,0.03030303,0.242424242,0.272727273,0.212121212,0,0.181818182
MilkP LR,0.222222222,0.027777778,0.125,0.138888889,0.263888889,0.069444444,0.152777778
MilkP NR,0.12037037,0.018518519,0.185185185,0.175925926,0.203703704,0.212962963,0.083333333
MilkC HR,0.111111111,0.027777778,0.138888889,0.25,0.194444444,0.111111111,0.166666667
MilkC KR,0.14516129,0.088709677,0.180107527,0.14516129,0.201612903,0.10483871,0.134408602
MilkC MR,0.102564103,0.038461538,0.256410256,0.102564103,0.269230769,0.141025641,0.08974359
MilkC LR,0.203389831,0.050847458,0.169491525,0.169491525,0.237288136,0.127118644,0.042372881
MilkC NR,0.062992126,0.047244094,0.244094488,0.149606299,0.251968504,0.125984252,0.118110236
curd KR,0.127009646,0.072347267,0.204180064,0.147909968,0.217041801,0.115755627,0.115755627
curd LR,0.1,0.1,0.133333333,0.1,0.266666667,0.066666667,0.233333333
curd MR,0,0,0,0.2,0.3,0.2,0.3
curd NR,0.231884058,0.014492754,0.173913043,0.188405797,0.246376812,0.130434783,0.014492754
coffee HR,0.083333333,0.083333333,0.083333333,0.166666667,0.25,0.166666667,0.166666667
coffee KR,0.098540146,0.124087591,0.189781022,0.156934307,0.218978102,0.098540146,0.113138686
coffee MR,0.125,0.03125,0.21875,0.140625,0.21875,0.09375,0.171875
coffee LR,0.236842105,0.026315789,0.184210526,0.096491228,0.254385965,0.131578947,0.070175439
coffee NR,0.131086142,0.033707865,0.205992509,0.168539326,0.213483146,0.131086142,0.116104869
tea HR,0.055555556,0.055555556,0.055555556,0.111111111,0.388888889,0.166666667,0.166666667
tea KR,0.113043478,0.101449275,0.211594203,0.144927536,0.197101449,0.130434783,0.101449275
tea MR,0.209677419,0.064516129,0.177419355,0.14516129,0.225806452,0.048387097,0.129032258
tea LR,0.093333333,0.013333333,0.213333333,0.093333333,0.266666667,0.12,0.2
tea NR,0.164502165,0.034632035,0.181818182,0.181818182,0.233766234,0.108225108,0.095238095
beef HR,0,0.1875,0.125,0.0625,0.3125,0.1875,0.125
beef KR,0.131578947,0.131578947,0.162280702,0.149122807,0.245614035,0.096491228,0.083333333
beef MR,0.171052632,0.013157895,0.197368421,0.184210526,0.223684211,0.092105263,0.118421053
beef LR,0.155555556,0.055555556,0.188888889,0.133333333,0.255555556,0.055555556,0.155555556
beef NR,0.127725857,0.031152648,0.224299065,0.152647975,0.193146417,0.14953271,0.121495327
chicken HR,0.5,0,0,0.25,0.25,0,0
chicken KR,0.109803922,0.129411765,0.180392157,0.152941176,0.219607843,0.109803922,0.098039216
chicken MR,0.15,0.116666667,0.133333333,0.183333333,0.216666667,0.133333333,0.066666667
chicken LR,0.164383562,0.020547945,0.143835616,0.150684932,0.253424658,0.089041096,0.178082192
chicken NR,0.131578947,0.022556391,0.255639098,0.139097744,0.210526316,0.135338346,0.105263158
mutton HR,0,0,0.333333333,0,0.666666667,0,0
mutton KR,0.094555874,0.103151862,0.200573066,0.151862464,0.223495702,0.11747851,0.108882521
mutton MR,0.166666667,0,0.166666667,0.125,0.25,0.041666667,0.25
mutton LR,0.205479452,0.068493151,0.205479452,0.109589041,0.273972603,0.095890411,0.04109589
mutton NR,0.163120567,0.028368794,0.187943262,0.163120567,0.20212766,0.127659574,0.127659574
egg HR,0.055555556,0,0.222222222,0.166666667,0.111111111,0.111111111,0.333333333
egg KR,0.128772636,0.092555332,0.199195171,0.160965795,0.22334004,0.104627767,0.09054326
egg MR,0.076923077,0.051282051,0.128205128,0.025641026,0.128205128,0.358974359,0.230769231
egg LR,0.194029851,0.014925373,0.149253731,0.149253731,0.223880597,0.119402985,0.149253731
egg NR,0.154545455,0,0.227272727,0.145454545,0.272727273,0.081818182,0.118181818
fishA HR,0.2,0,0.16,0.16,0.32,0.12,0.04
fishA KR,0.125,0.113636364,0.178977273,0.15625,0.210227273,0.122159091,0.09375
fishA MR,0.047619048,0.023809524,0.214285714,0.19047619,0.166666667,0.19047619,0.166666667
fishA LR,0.217948718,0.025641026,0.179487179,0.128205128,0.256410256,0.102564103,0.08974359
fishA NR,0.128205128,0.025641026,0.226495726,0.141025641,0.230769231,0.098290598,0.14957265
fishB KR,0.127536232,0.069565217,0.192753623,0.153623188,0.226086957,0.115942029,0.114492754
